287 	 0.693400 	 0.693400 	 species
316 	 0.157895 	 0.157895 	 species
470 	 0.030911 	 0.030911 	 species
550 	 0.021721 	 0.021721 	 species
573 	 0.011696 	 0.011696 	 species
926 	 0.005013 	 0.005013 	 species
1270 	 0.003342 	 0.003342 	 species
1280 	 0.003342 	 0.003342 	 species
1282 	 0.003342 	 0.003342 	 species
1283 	 0.003342 	 0.003342 	 species
1288 	 0.001671 	 0.001671 	 species
1390 	 0.002506 	 0.002506 	 species
1392 	 0.002506 	 0.002506 	 species
1396 	 0.002506 	 0.002506 	 species
1404 	 0.001671 	 0.001671 	 species
1408 	 0.001671 	 0.001671 	 species
1421 	 0.001671 	 0.001671 	 species
1428 	 0.001671 	 0.001671 	 species
1717 	 0.000835 	 0.000835 	 species
1747 	 0.000835 	 0.000835 	 species
1800 	 0.000835 	 0.000835 	 species
28035 	 0.000835 	 0.000835 	 species
43767 	 0.046784 	 0.046784 	 species
