285 	 0.000102 	 0.000102 	 species
287 	 0.000102 	 0.000102 	 species
293 	 0.000091 	 0.000091 	 species
303 	 0.000080 	 0.000080 	 species
316 	 0.857063 	 0.857063 	 species
339 	 0.000068 	 0.000068 	 species
470 	 0.000045 	 0.000045 	 species
471 	 0.000045 	 0.000045 	 species
519 	 0.000034 	 0.000034 	 species
529 	 0.000023 	 0.000023 	 species
550 	 0.000023 	 0.000023 	 species
562 	 0.000023 	 0.000023 	 species
565 	 0.000023 	 0.000023 	 species
571 	 0.000023 	 0.000023 	 species
573 	 0.000023 	 0.000023 	 species
623 	 0.000023 	 0.000023 	 species
844 	 0.000011 	 0.000011 	 species
926 	 0.000011 	 0.000011 	 species
1260 	 0.000011 	 0.000011 	 species
1270 	 0.063681 	 0.063681 	 species
1280 	 0.000011 	 0.000011 	 species
1281 	 0.000011 	 0.000011 	 species
1282 	 0.023878 	 0.023878 	 species
1283 	 0.000011 	 0.000011 	 species
1288 	 0.013075 	 0.013075 	 species
1290 	 0.000011 	 0.000011 	 species
1292 	 0.000011 	 0.000011 	 species
1351 	 0.000011 	 0.000011 	 species
1390 	 0.000500 	 0.000500 	 species
1392 	 0.000500 	 0.000500 	 species
1396 	 0.010576 	 0.010576 	 species
1404 	 0.000466 	 0.000466 	 species
1408 	 0.006270 	 0.006270 	 species
1421 	 0.000227 	 0.000227 	 species
1428 	 0.005793 	 0.005793 	 species
1727 	 0.000091 	 0.000091 	 species
1747 	 0.000091 	 0.000091 	 species
1800 	 0.004135 	 0.004135 	 species
28035 	 0.002874 	 0.002874 	 species
28141 	 0.000080 	 0.000080 	 species
29385 	 0.002829 	 0.002829 	 species
37734 	 0.000045 	 0.000045 	 species
40324 	 0.002295 	 0.002295 	 species
43767 	 0.001863 	 0.001863 	 species
72000 	 0.000023 	 0.000023 	 species
86662 	 0.001590 	 0.001590 	 species
161879 	 0.000011 	 0.000011 	 species
214856 	 0.000011 	 0.000011 	 species
256701 	 0.001204 	 0.001204 	 species
