548	0.260319	0.260319	species	X
1404	0.206347	0.206347	species	X
1282	0.162849	0.162849	species	X
1085	0.115636	0.115636	species	X
287	0.079101	0.079101	species	X
1270	0.067480	0.067480	species	X
1911	0.049876	0.049876	species	X
1351	0.030754	0.030754	species	X
1396	0.013006	0.013006	species	X
1428	0.007954	0.007954	species	X
54291	0.003117	0.003117	species	X
34038	0.001170	0.001170	species	X
571	0.000717	0.000717	species	X
573	0.000585	0.000585	species	X
288000	0.000382	0.000382	species	X
1747	0.000275	0.000275	species	X
329	0.000263	0.000263	species	X
28901	0.000119	0.000119	species	X
562	0.000048	0.000048	species	X
