285 	 0.220183 	 0.220183 	 species
287 	 0.169725 	 0.169725 	 species
303 	 0.151376 	 0.151376 	 species
316 	 0.137615 	 0.137615 	 species
470 	 0.032110 	 0.032110 	 species
471 	 0.032110 	 0.032110 	 species
529 	 0.022936 	 0.022936 	 species
550 	 0.018349 	 0.018349 	 species
562 	 0.018349 	 0.018349 	 species
571 	 0.018349 	 0.018349 	 species
573 	 0.013761 	 0.013761 	 species
623 	 0.013761 	 0.013761 	 species
844 	 0.009174 	 0.009174 	 species
926 	 0.009174 	 0.009174 	 species
1260 	 0.004587 	 0.004587 	 species
1270 	 0.004587 	 0.004587 	 species
1280 	 0.004587 	 0.004587 	 species
1281 	 0.004587 	 0.004587 	 species
1282 	 0.004587 	 0.004587 	 species
1283 	 0.004587 	 0.004587 	 species
1288 	 0.004587 	 0.004587 	 species
1292 	 0.004587 	 0.004587 	 species
1390 	 0.004587 	 0.004587 	 species
1392 	 0.004587 	 0.004587 	 species
1396 	 0.004587 	 0.004587 	 species
1404 	 0.004587 	 0.004587 	 species
1408 	 0.004587 	 0.004587 	 species
1421 	 0.004587 	 0.004587 	 species
1428 	 0.004587 	 0.004587 	 species
28035 	 0.055046 	 0.055046 	 species
43767 	 0.009174 	 0.009174 	 species
