1579	0.038950	0.038950	species	X
287	0.038889	0.038889	species	X
380021	0.038889	0.038889	species	X
1061	0.038868	0.038868	species	X
1063	0.038868	0.038868	species	X
215813	0.038868	0.038868	species	X
290400	0.038868	0.038868	species	X
300	0.038868	0.038868	species	X
911045	0.038868	0.038868	species	X
1590	0.038858	0.038858	species	X
354	0.038858	0.038858	species	X
74318	0.038858	0.038858	species	X
1217908	0.038838	0.038838	species	X
42443	0.038776	0.038776	species	X
267818	0.038756	0.038756	species	X
1613	0.038500	0.038500	species	X
1587	0.038092	0.038092	species	X
303	0.037387	0.037387	species	X
60890	0.037346	0.037346	species	X
1598	0.036018	0.036018	species	X
33959	0.034496	0.034496	species	X
1584	0.034312	0.034312	species	X
47715	0.033148	0.033148	species	X
316	0.030941	0.030941	species	X
1623	0.028050	0.028050	species	X
47770	0.026743	0.026743	species	X
29438	0.024802	0.024802	species	X
1581	0.015833	0.015833	species	X
294	0.001093	0.001093	species	X
317	0.000358	0.000358	species	X
