913	0.250825	0.250825	species	X
172	0.246769	0.246769	species	X
1229	0.058086	0.058086	species	X
151895	0.050688	0.050688	species	X
158	0.048954	0.048954	species	X
404011	0.047992	0.047992	species	X
2214	0.047019	0.047019	species	X
64160	0.041385	0.041385	species	X
1496	0.031498	0.031498	species	X
786	0.030556	0.030556	species	X
2421	0.026842	0.026842	species	X
414	0.017399	0.017399	species	X
1643	0.016634	0.016634	species	X
1769	0.014461	0.014461	species	X
837	0.014414	0.014414	species	X
329	0.012810	0.012810	species	X
1018	0.011274	0.011274	species	X
182640	0.008128	0.008128	species	X
2130	0.007528	0.007528	species	X
1100	0.007026	0.007026	species	X
915	0.005308	0.005308	species	X
670	0.004403	0.004403	species	X
