287 	 0.000249 	 0.000249 	 species
316 	 0.855452 	 0.855452 	 species
470 	 0.000068 	 0.000068 	 species
550 	 0.000045 	 0.000045 	 species
573 	 0.000034 	 0.000034 	 species
926 	 0.000023 	 0.000023 	 species
1270 	 0.063398 	 0.063398 	 species
1280 	 0.000011 	 0.000011 	 species
1282 	 0.023713 	 0.023713 	 species
1283 	 0.000011 	 0.000011 	 species
1288 	 0.013002 	 0.013002 	 species
1290 	 0.000011 	 0.000011 	 species
1292 	 0.000011 	 0.000011 	 species
1390 	 0.000011 	 0.000011 	 species
1392 	 0.000011 	 0.000011 	 species
1396 	 0.010553 	 0.010553 	 species
1404 	 0.000011 	 0.000011 	 species
1408 	 0.006291 	 0.006291 	 species
1421 	 0.000011 	 0.000011 	 species
1428 	 0.005770 	 0.005770 	 species
1717 	 0.000011 	 0.000011 	 species
1747 	 0.004432 	 0.004432 	 species
1800 	 0.004069 	 0.004069 	 species
28035 	 0.002834 	 0.002834 	 species
29385 	 0.002822 	 0.002822 	 species
40324 	 0.002267 	 0.002267 	 species
43767 	 0.001848 	 0.001848 	 species
86662 	 0.001598 	 0.001598 	 species
256701 	 0.001202 	 0.001202 	 species
721785 	 0.000227 	 0.000227 	 species
