201096	0.0404015273182	0.0404015273182	genus	Alicycliphilus
1129	0.00468890034906	0.00468890034906	genus	Synechococcus
768	0.095483598228	0.095483598228	genus	Anaplasma
745	0.120776774144	0.120776774144	genus	Pasteurella
773	0.00243327721291	0.00243327721291	genus	Bartonella
1854	0.0318729201952	0.0318729201952	genus	Frankia
122277	0.00642379458048	0.00642379458048	genus	Pectobacterium
230355	0.0080953930111	0.0080953930111	genus	Methanolacinia
33973	0.00402372081285	0.00402372081285	genus	Acidobacterium
2697	0.379306803913	0.379306803913	genus	Heliobacterium
40323	0.00665870575552	0.00665870575552	genus	Stenotrophomonas
1678	0.12206053977	0.12206053977	genus	Bifidobacterium
2093	0.00125388465467	0.00125388465467	genus	Mycoplasma
234	0.0171634140651	0.0171634140651	genus	Brucella
104264	0.00113783776049	0.00113783776049	genus	Cellulophaga
364316	0.0183843063081	0.0183843063081	genus	Verminephrobacter
1883	0.0461580683026	0.0461580683026	genus	Streptomyces
28895	0.00589927544117	0.00589927544117	genus	Thermoanaerobacterium
171	0.062863453138	0.062863453138	genus	Leptospira
1301	0.0249138050399	0.0249138050399	genus	Streptococcus
