1301	0.130313	0.130313	genus	X
816	0.102752	0.102752	genus	X
1279	0.091367	0.091367	genus	X
209	0.076440	0.076440	genus	X
482	0.072120	0.072120	genus	X
1485	0.066558	0.066558	genus	X
1298	0.058514	0.058514	genus	X
1060	0.052144	0.052144	genus	X
1654	0.051542	0.051542	genus	X
1743	0.045504	0.045504	genus	X
1578	0.040209	0.040209	genus	X
1386	0.039195	0.039195	genus	X
1637	0.037128	0.037128	genus	X
469	0.037019	0.037019	genus	X
561	0.033623	0.033623	genus	X
286	0.032843	0.032843	genus	X
1350	0.032730	0.032730	genus	X
