1073	0.301567	0.301567	genus	X
374	0.100790	0.100790	genus	X
978	0.060972	0.060972	genus	X
22	0.050836	0.050836	genus	X
32008	0.044255	0.044255	genus	X
286	0.024180	0.024180	genus	X
1854	0.018596	0.018596	genus	X
1091	0.015753	0.015753	genus	X
911	0.011500	0.011500	genus	X
18	0.011282	0.011282	genus	X
1205	0.011190	0.011190	genus	X
1578	0.010731	0.010731	genus	X
36853	0.008908	0.008908	genus	X
497	0.008427	0.008427	genus	X
1107	0.008243	0.008243	genus	X
1485	0.008175	0.008175	genus	X
1099	0.007716	0.007716	genus	X
29526	0.007303	0.007303	genus	X
28065	0.007189	0.007189	genus	X
52972	0.007131	0.007131	genus	X
2370	0.007120	0.007120	genus	X
316625	0.006982	0.006982	genus	X
352	0.006982	0.006982	genus	X
1839	0.006971	0.006971	genus	X
1663	0.006501	0.006501	genus	X
161492	0.006478	0.006478	genus	X
73029	0.006466	0.006466	genus	X
33981	0.006237	0.006237	genus	X
2207	0.006168	0.006168	genus	X
265	0.006145	0.006145	genus	X
188905	0.006122	0.006122	genus	X
2742	0.006111	0.006111	genus	X
449972	0.006077	0.006077	genus	X
1081	0.005950	0.005950	genus	X
28231	0.005870	0.005870	genus	X
162171	0.005813	0.005813	genus	X
114627	0.005687	0.005687	genus	X
872	0.005480	0.005480	genus	X
53246	0.005389	0.005389	genus	X
165696	0.005331	0.005331	genus	X
42054	0.005297	0.005297	genus	X
1386	0.005228	0.005228	genus	X
1060	0.005091	0.005091	genus	X
2202	0.005091	0.005091	genus	X
1227	0.004964	0.004964	genus	X
1508657	0.004884	0.004884	genus	X
1298	0.004873	0.004873	genus	X
1301	0.004873	0.004873	genus	X
165697	0.004873	0.004873	genus	X
1218	0.004769	0.004769	genus	X
42255	0.004643	0.004643	genus	X
83677	0.004632	0.004632	genus	X
35798	0.004598	0.004598	genus	X
33986	0.004552	0.004552	genus	X
44260	0.004460	0.004460	genus	X
919	0.004414	0.004414	genus	X
44000	0.004345	0.004345	genus	X
97050	0.004322	0.004322	genus	X
133193	0.004231	0.004231	genus	X
862	0.003783	0.003783	genus	X
1129	0.003761	0.003761	genus	X
914	0.003738	0.003738	genus	X
404	0.003612	0.003612	genus	X
943	0.003451	0.003451	genus	X
202746	0.003336	0.003336	genus	X
1101	0.003313	0.003313	genus	X
1678	0.003233	0.003233	genus	X
2225	0.003222	0.003222	genus	X
1350	0.003176	0.003176	genus	X
1357	0.003153	0.003153	genus	X
713	0.002981	0.002981	genus	X
1163	0.002809	0.002809	genus	X
933	0.002786	0.002786	genus	X
74968	0.002671	0.002671	genus	X
214906	0.002637	0.002637	genus	X
1243	0.002591	0.002591	genus	X
1253	0.002488	0.002488	genus	X
1754	0.002396	0.002396	genus	X
46254	0.002098	0.002098	genus	X
