1298	0.376377	0.376377	genus	X
469	0.121381	0.121381	genus	X
816	0.094182	0.094182	genus	X
1279	0.087985	0.087985	genus	X
1301	0.065506	0.065506	genus	X
1743	0.047128	0.047128	genus	X
1485	0.036036	0.036036	genus	X
209	0.035985	0.035985	genus	X
482	0.028140	0.028140	genus	X
1060	0.026273	0.026273	genus	X
1637	0.020388	0.020388	genus	X
1654	0.018386	0.018386	genus	X
1350	0.014957	0.014957	genus	X
2172	0.008568	0.008568	genus	X
1386	0.007005	0.007005	genus	X
286	0.006296	0.006296	genus	X
561	0.005093	0.005093	genus	X
1578	0.000224	0.000224	genus	X
40323	0.000091	0.000091	genus	X
