1298	0.410699	0.410699	genus	X
469	0.126519	0.126519	genus	X
816	0.090239	0.090239	genus	X
1279	0.067338	0.067338	genus	X
1743	0.065514	0.065514	genus	X
1301	0.049523	0.049523	genus	X
482	0.032925	0.032925	genus	X
1485	0.031341	0.031341	genus	X
209	0.028636	0.028636	genus	X
1637	0.021349	0.021349	genus	X
1060	0.020740	0.020740	genus	X
1350	0.013789	0.013789	genus	X
1654	0.013505	0.013505	genus	X
286	0.008200	0.008200	genus	X
1386	0.008011	0.008011	genus	X
2172	0.006281	0.006281	genus	X
561	0.005106	0.005106	genus	X
1578	0.000283	0.000283	genus	X
