%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
1.714	340	340	573508	1.26	0.003009	0	no rank	unclassified
98.29	19497	51	2716962	1.17	0.0004679	1	no rank	root
98.02	19445	0	2713319	1.17	0.0004785	131567	no rank	  cellular organisms
96.91	19224	1	2670854	1.17	0.0005006	2	superkingdom	    Bacteria
45.8	9085	0	1349463	1.11	0.0005277	1224	phylum	      Proteobacteria
26.52	5261	0	868256	1.07	0.002468	68525	subphylum	        delta/epsilon subdivisions
26.52	5261	0	868256	1.07	0.003238	28221	class	          Deltaproteobacteria
26.52	5261	0	868256	1.07	0.00884	29	order	            Myxococcales
26.52	5261	0	868256	1.07	0.01385	80811	suborder	              Cystobacterineae
26.52	5261	0	862230	1.07	0.02364	31	family	                Myxococcaceae
26.52	5261	25	851851	1.08	0.0321	32	genus	                  Myxococcus
26.4	5236	0	754026	1.08	0.09548	34	species	                    Myxococcus xanthus
26.4	5236	5236	754026	1.08	0.09548	246197	no rank	                      Myxococcus xanthus DK 1622
19.24	3817	2	504558	1.11	0.0004668	1236	class	        Gammaproteobacteria
19.21	3811	1	501704	1.11	0.002801	135622	order	          Alteromonadales
19.21	3810	0	501222	1.12	0.006039	267890	family	            Shewanellaceae
19.21	3810	8	501222	1.12	0.006039	22	genus	              Shewanella
19.17	3802	0	500321	1.11	0.1187	60478	species	                Shewanella amazonensis
19.17	3802	3802	500321	1.11	0.1187	326297	no rank	                  Shewanella amazonensis SB2B
0.01008	2	0	12	1	2.668e-07	135613	order	          Chromatiales
0.01008	2	0	7	1	3.062e-07	1046	family	            Chromatiaceae
0.005041	1	0	6	1	1.489e-06	156885	genus	              Thioflavicoccus
0.005041	1	0	6	1	1.489e-06	80679	species	                Thioflavicoccus mobilis
0.005041	1	1	6	1	1.489e-06	765912	no rank	                  Thioflavicoccus mobilis 8321
0.005041	1	0	1	1	2.803e-07	85072	genus	              Allochromatium
0.005041	1	0	1	1	2.803e-07	1049	species	                Allochromatium vinosum
0.005041	1	1	1	1	2.803e-07	572477	no rank	                  Allochromatium vinosum DSM 180
0.005041	1	0	7	1	3.119e-08	72274	order	          Pseudomonadales
0.005041	1	0	5	1	2.591e-08	135621	family	            Pseudomonadaceae
0.005041	1	0	5	1	2.727e-08	286	genus	              Pseudomonas
0.005041	1	0	1	1	2.891e-08	136843	species group	                Pseudomonas fluorescens group
0.005041	1	1	1	1	1.239e-07	380021	species	                  Pseudomonas protegens
0.005041	1	0	5	1	1.206e-07	135625	order	          Pasteurellales
0.005041	1	0	5	1	1.206e-07	712	family	            Pasteurellaceae
0.005041	1	0	5	1	2.203e-06	476528	genus	              Bibersteinia
0.005041	1	0	5	1	2.203e-06	47735	species	                Bibersteinia trehalosi
0.005041	1	1	5	1	2.203e-06	1171377	no rank	                  Bibersteinia trehalosi USDA-ARS-USMARC-192
0.03529	7	0	107	1.43	1.67e-07	28211	class	        Alphaproteobacteria
0.02016	4	0	88	1.52	2.567e-07	356	order	          Rhizobiales
0.01512	3	0	82	1.56	1.952e-06	119045	family	            Methylobacteriaceae
0.01512	3	0	82	1.56	1.952e-06	407	genus	              Methylobacterium
