  0.62	212758	212758	U	0	unclassified
 99.38	34120071	149908	-	1	root
 98.51	33819699	134	-	131567	  cellular organisms
 98.45	33801051	4375	D	2	    Bacteria
 44.58	15304881	16363	P	1224	      Proteobacteria
 25.80	8858966	8538	C	1236	        Gammaproteobacteria
  9.62	3304270	21338	O	91347	          Enterobacterales
  6.39	2194601	135397	F	543	            Enterobacteriaceae
  2.70	927482	48597	G	570	              Klebsiella
  1.93	660954	659371	S	571	                Klebsiella oxytoca
  0.00	399	0	-	1000005996	                  GCF_001548355.1 Klebsiella oxytoca strain=JKo3
  0.00	393	393	-	1000005997	                    NZ_AP014951.1 Klebsiella oxytoca DNA, complete genome, strain: JKo3
  0.00	5	5	-	1000005998	                    NZ_AP014952.1 Klebsiella oxytoca plasmid pKO_JKo3_1 DNA, complete genome, strain: JKo3
  0.00	1	1	-	1000006001	                    NZ_AP014955.1 Klebsiella oxytoca plasmid pKO_JKo3_4 DNA, complete genome, strain: JKo3
  0.00	398	0	-	1000005989	                  GCF_001022295.1 Klebsiella oxytoca strain=CAV1099
  0.00	317	317	-	1000005990	                    NZ_CP011597.1 Klebsiella oxytoca strain CAV1099, complete genome
  0.00	81	81	-	1000005994	                    NZ_CP011593.1 Klebsiella oxytoca strain CAV1099 plasmid pCAV1099-69, complete sequence
  0.00	326	0	-	1000005976	                  GCF_001022195.1 Klebsiella oxytoca strain=CAV1374
  0.00	324	324	-	1000005977	                    NZ_CP011636.1 Klebsiella oxytoca strain CAV1374, complete genome
  0.00	1	1	-	1000005979	                    NZ_CP011633.1 Klebsiella oxytoca strain CAV1374 plasmid pCAV1374-150, complete sequence
  0.00	1	1	-	1000005980	                    NZ_CP011628.1 Klebsiella oxytoca strain CAV1374 plasmid pCAV1374-16, complete sequence
  0.00	293	0	-	1000006016	                  GCF_002072655.1 Klebsiella oxytoca strain=AR_0147
  0.00	292	292	-	1000006017	                    NZ_CP020358.1 Klebsiella oxytoca strain AR_0147, complete genome
  0.00	1	1	-	1000006018	                    NZ_CP020359.1 Klebsiella oxytoca strain AR_0147 plasmid unitig_2, complete sequence
  0.00	110	0	-	1333852	                  Klebsiella oxytoca KONIH1
  0.00	110	0	-	1000005964	                    GCF_000714655.1 Klebsiella oxytoca KONIH1
  0.00	110	110	-	1000005965	                      NZ_CP008788.1 Klebsiella oxytoca KONIH1, complete genome
  0.00	40	0	-	1000006002	                  GCF_001970835.1 Klebsiella oxytoca strain=CAV1752
  0.00	26	26	-	1000006005	                    NZ_CP018361.1 Klebsiella oxytoca strain CAV1752 plasmid pCAV1752-278, complete sequence
  0.00	13	13	-	1000006003	                    NZ_CP018362.1 Klebsiella oxytoca strain CAV1752, complete genome
  0.00	1	1	-	1000006004	                    NZ_CP018360.1 Klebsiella oxytoca strain CAV1752 plasmid pCAV1752-111, complete sequence
  0.00	15	0	-	1000005969	                  GCF_001022115.1 Klebsiella oxytoca strain=CAV1335
  0.00	15	15	-	1000005970	                    NZ_CP011618.1 Klebsiella oxytoca strain CAV1335, complete genome
