%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
19.92	119518	119518	2631147	5.87	NA	0	no rank	unclassified
80.08	480482	136	3945758	6.73	0.0002613	1	no rank	root
79.75	478523	2	3924671	6.74	0.000265	131567	no rank	  cellular organisms
79.74	478459	50	3924671	6.74	0.0003333	2	superkingdom	    Bacteria
64.85	389119	5	3641937	6.24	0.0008285	1783272	no rank	      Terrabacteria group
64.84	389037	15	3641937	6.24	0.00201	1239	phylum	        Firmicutes
63.12	378723	21	3612280	6.25	0.002822	91061	class	          Bacilli
63.09	378543	37	3609189	6.25	0.009537	186826	order	            Lactobacillales
63.08	378482	9	3608007	6.24	0.02899	1300	family	              Streptococcaceae
63.07	378443	6352	3606432	6.24	0.03416	1301	genus	                Streptococcus
15.38	92278	0	323866	17.2	0.05393	119603	species group	                  Streptococcus dysgalactiae group
8.216	49294	0	183466	16.5	0.09097	1334	species	                    Streptococcus dysgalactiae
8.216	49294	45329	183466	16.5	0.09097	119602	subspecies	                      Streptococcus dysgalactiae subsp. equisimilis
0.218	1308	0	1488	17.1	0.01044	617121	no rank	                        Streptococcus dysgalactiae subsp. equisimilis RE378
0.218	1308	0	1488	17.1	0.01044	1000009743	assembly	                          GCF_000307185.1 Streptococcus dysgalactiae subsp. equisimilis RE378
0.218	1308	1308	1488	17.1	0.01044	1000009744	sequence	                            NC_018712.1 Streptococcus dysgalactiae subsp. equisimilis RE378 DNA, complete genome
0.2053	1232	0	2057	14.3	0.01157	486410	no rank	                        Streptococcus dysgalactiae subsp. equisimilis GGS_124
0.2053	1232	0	2057	14.3	0.01157	1000009735	assembly	                          GCF_000010705.1 Streptococcus dysgalactiae subsp. equisimilis GGS_124
0.2053	1232	1232	2057	14.3	0.01157	1000009736	sequence	                            NC_012891.1 Streptococcus dysgalactiae subsp. equisimilis GGS_124 DNA, complete genome
0.1217	730	0	1014	14.8	0.007247	663954	no rank	                        Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
0.1217	730	0	1014	14.8	0.007247	1000009737	assembly	                          GCF_000188715.1 Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
0.1217	730	730	1014	14.8	0.007247	1000009738	sequence	                            NC_017567.1 Streptococcus dysgalactiae subsp. equisimilis ATCC 12394, complete genome
0.1158	695	0	888	17.5	0.005664	759913	no rank	                        Streptococcus dysgalactiae subsp. equisimilis AC-2713
0.1158	695	0	888	17.5	0.005664	1000009741	assembly	                          GCF_000317855.1 Streptococcus dysgalactiae subsp. equisimilis AC-2713
0.1158	695	695	888	17.5	0.005664	1000009742	sequence	                            NC_019042.1 Streptococcus dysgalactiae subsp. equisimilis AC-2713, complete genome
7.164	42984	13038	140667	18.2	0.03531	1336	species	                    Streptococcus equi
